变量编号,位号,中文名称,取值范围,单位,Δ值
4,S-ZORB.FC_2801.PV,还原器流化氢气流量,600-1000,Nm3/h,50.0
10,S-ZORB.TC_2101.PV,反吹氢气温度,165-250,℃,2.0
17,S-ZORB.LC_5001.PV,稳定塔液位,45-60,%,1.0
22,S-ZORB.AT_5201.PV,精制汽油出装置硫含量,0-5,μg/g,1.0
24,S-ZORB.FT_9301.PV,蒸汽进装置流量,0-3500,Nm3/h,50.0
34,S-ZORB.TE_9301.PV,1.0MPa蒸汽进装置温度,150-250,℃,1.0
40,S-ZORB.PT_9402.PV,非净化风进装置压力,0.55-0.70,MPa,0.05
50,S-ZORB.TE_1001.PV,原料进装置温度,35-80,℃,1.0
55,S-ZORB.TE_1105.PV,原料换热器管程总管进口温度,40-80,℃,1.0
72,S-ZORB.LC_1202.PV,D121液面,45-55,%,5.0
81,S-ZORB.PDT_2604.PV,再生器顶底差压,20-45,KPa,5.0
121,S-ZORB.TE_1103.DACA,E-101C管程出口管温度,300-400,℃,1.0
148,S-ZORB.TC_2702.DACA,D-110底部,150-320,,5.0
157,S-ZORB.PT_2502.DACA,D-107底压力,0.1-0.2,,0.05
168,S-ZORB.TE_5002.DACA,C-201下部进料管温度,100-150,℃,1.0
169,S-ZORB.TE_5004.DACA,稳定塔顶出口温度,40-80,℃,1.0
186,S-ZORB.AT_1001.DACA,原料汽油硫含量,1.5-645,,10.0
188,S-ZORB.LI_2107.DACA,TAG表和PID图未见PDI-2107点，是否为DI-2107,-3-(9),,1.0
224,S-ZORB.PT_2603.DACA,R-102下部压力,0.1-0.2,,0.05
294,S-ZORB.SIS_FT_3202.PV,EH-103入口流量,120-350,℃,1.0
302,S-ZORB.TXE_2203A.DACA,EH-101加热元件温度,300-550,,2.0
320,S-ZORB.AT-0009.DACA.PV,S_ZORB AT-0009,0.4-0.8,,0.1
321,S-ZORB.AT-0010.DACA.PV,S_ZORB AT-0010,0.5-2.0,,0.1
325,S-ZORB.TE_2104.DACA.PV,过滤器ME-101出口温度,400-450,,1.0
